X1,X2,X3,Y,norm_X1,norm_X2,norm_X3,norm_Y
5362.86,5278.92,5461.99,5416.77,0.063925926,0.052556441,0.077352863,0.071227915
5416.77,5362.86,5278.92,5450.28,0.071227915,0.063925926,0.052556441,0.07576677
5450.28,5416.77,5362.86,5465.3,0.07576677,0.071227915,0.063925926,0.077801195
5465.3,5450.28,5416.77,5371.22,0.077801195,0.07576677,0.071227915,0.06505827
5371.22,5465.3,5450.28,5384.65,0.06505827,0.077801195,0.07576677,0.066877333
5384.65,5371.22,5465.3,5202.28,0.066877333,0.06505827,0.077801195,0.042175725
5202.28,5384.65,5371.22,5318.49,0.042175725,0.066877333,0.06505827,0.057916109
5318.49,5202.28,5384.65,5305.89,0.057916109,0.042175725,0.066877333,0.056209467
5305.89,5318.49,5202.28,5264.91,0.056209467,0.057916109,0.042175725,0.050658818
5264.91,5305.89,5318.49,5249.32,0.050658818,0.056209467,0.057916109,0.048547187
5249.32,5264.91,5305.89,5104.3,0.048547187,0.050658818,0.056209467,0.028904553
5104.3,5249.32,5264.91,5081.47,0.028904553,0.048547187,0.050658818,0.02581228
5081.47,5104.3,5249.32,5089.36,0.02581228,0.028904553,0.048547187,0.026880963
5089.36,5081.47,5104.3,5150.55,0.026880963,0.02581228,0.028904553,0.035169012
5150.55,5089.36,5081.47,5105.78,0.035169012,0.026880963,0.02581228,0.029105015
5105.78,5150.55,5089.36,5279.17,0.029105015,0.035169012,0.026880963,0.052590303
5279.17,5105.78,5150.55,5265.96,0.052590303,0.029105015,0.035169012,0.050801038
5265.96,5279.17,5105.78,5280.96,0.050801038,0.052590303,0.029105015,0.052832755
5280.96,5265.96,5279.17,5348.4,0.052832755,0.050801038,0.052590303,0.061967352
5348.4,5280.96,5265.96,5352.7,0.061967352,0.052832755,0.050801038,0.062549777
5352.7,5348.4,5280.96,5400.1,0.062549777,0.061967352,0.052832755,0.068970001
5400.1,5352.7,5348.4,5390.69,0.068970001,0.062549777,0.061967352,0.067695438
5390.69,5400.1,5352.7,5409.5,0.067695438,0.068970001,0.062549777,0.07024321
5409.5,5390.69,5400.1,5424.01,0.07024321,0.067695438,0.068970001,0.072208557
5424.01,5409.5,5390.69,5454.18,0.072208557,0.07024321,0.067695438,0.076295016
5454.18,5424.01,5409.5,5485.55,0.076295016,0.072208557,0.07024321,0.080544012
5485.55,5454.18,5424.01,5473.47,0.080544012,0.076295016,0.072208557,0.078907803
5473.47,5485.55,5454.18,5474.62,0.078907803,0.080544012,0.076295016,0.079063568
5474.62,5473.47,5485.55,5439.68,0.079063568,0.078907803,0.080544012,0.074331023
5439.68,5474.62,5473.47,5388.3,0.074331023,0.079063568,0.078907803,0.067371717
5388.3,5439.68,5474.62,5379.13,0.067371717,0.074331023,0.079063568,0.066129661
5379.13,5388.3,5439.68,5389.41,0.066129661,0.067371717,0.074331023,0.067522064
5389.41,5379.13,5388.3,5440.63,0.067522064,0.066129661,0.067371717,0.074459699
5440.63,5389.41,5379.13,5426.29,0.074459699,0.067522064,0.066129661,0.072517378
5426.29,5440.63,5389.41,5411.07,0.072517378,0.074459699,0.067522064,0.070455863
5411.07,5426.29,5440.63,5347,0.070455863,0.072517378,0.074459699,0.061777725
5347,5411.07,5426.29,5315.69,0.061777725,0.070455863,0.072517378,0.057536855
5315.69,5347,5411.07,5352.34,0.057536855,0.061777725,0.070455863,0.062501016
5352.34,5315.69,5347,5304.33,0.062501016,0.057536855,0.061777725,0.055998169
5304.33,5352.34,5315.69,5290.04,0.055998169,0.062501016,0.057536855,0.05406262
5290.04,5304.33,5352.34,5206.83,0.05406262,0.055998169,0.062501016,0.042792012
5206.83,5290.04,5304.33,5262.31,0.042792012,0.05406262,0.055998169,0.050306654
5262.31,5206.83,5290.04,5309,0.050306654,0.042792012,0.05406262,0.05663071
5309,5262.31,5206.83,5304.37,0.05663071,0.050306654,0.042792012,0.056003587
5304.37,5309,5262.31,5343.48,0.056003587,0.05663071,0.050306654,0.061300949
5343.48,5304.37,5309,5364.1,0.061300949,0.056003587,0.05663071,0.064093882
5364.1,5343.48,5304.37,5369.09,0.064093882,0.061300949,0.056003587,0.064769766
5369.09,5364.1,5343.48,5352.74,0.064769766,0.064093882,0.061300949,0.062555195
5352.74,5369.09,5364.1,5326.43,0.062555195,0.064769766,0.064093882,0.058991564
5326.43,5352.74,5369.09,5335.57,0.058991564,0.062555195,0.064769766,0.060229557
5335.57,5326.43,5352.74,5329.68,0.060229557,0.058991564,0.062555195,0.05943177
5329.68,5335.57,5326.43,5377.92,0.05943177,0.060229557,0.058991564,0.06596577
5377.92,5329.68,5335.57,5417.86,0.06596577,0.05943177,0.060229557,0.071375553
5417.86,5377.92,5329.68,5377.76,0.071375553,0.06596577,0.05943177,0.065944098
5377.76,5417.86,5377.92,5409.23,0.065944098,0.071375553,0.06596577,0.070206639
5409.23,5377.76,5417.86,5401.33,0.070206639,0.065944098,0.071375553,0.069136602
5401.33,5409.23,5377.76,5371.47,0.069136602,0.070206639,0.065944098,0.065092132
5371.47,5401.33,5409.23,5355.64,0.065092132,0.069136602,0.070206639,0.062947993
5355.64,5371.47,5401.33,5381.59,0.062947993,0.065092132,0.069136602,0.066462863
5381.59,5355.64,5371.47,5393.94,0.066462863,0.062947993,0.065092132,0.068135643
5393.94,5381.59,5355.64,5330.14,0.068135643,0.066462863,0.062947993,0.059494076
5330.14,5393.94,5381.59,5346.45,0.059494076,0.068135643,0.066462863,0.061703229
5346.45,5330.14,5393.94,5320.67,0.061703229,0.059494076,0.068135643,0.058211385
5320.67,5346.45,5330.14,5327.54,0.058211385,0.061703229,0.059494076,0.059141911
5327.54,5320.67,5346.45,5318.72,0.059141911,0.058211385,0.061703229,0.057947262
5318.72,5327.54,5320.67,5195.5,0.057947262,0.059141911,0.058211385,0.041257389
5195.5,5318.72,5327.54,5171.73,0.041257389,0.057947262,0.059141911,0.038037795
5171.73,5195.5,5318.72,5199.49,0.038037795,0.041257389,0.057947262,0.041797825
5199.49,5171.73,5195.5,5184.14,0.041797825,0.038037795,0.041257389,0.039718702
5184.14,5199.49,5171.73,5173.2,0.039718702,0.041797825,0.038037795,0.038236904
5173.2,5184.14,5199.49,5118.43,0.038236904,0.039718702,0.041797825,0.03081843
5118.43,5173.2,5184.14,5087.94,0.03081843,0.038236904,0.039718702,0.026688627
5087.94,5118.43,5173.2,4997.35,0.026688627,0.03081843,0.038236904,0.014418414
4997.35,5087.94,5118.43,5055.99,0.014418414,0.026688627,0.03081843,0.022361071
5055.99,4997.35,5087.94,5045.91,0.022361071,0.014418414,0.026688627,0.020995758
5045.91,5055.99,4997.35,5045.7,0.020995758,0.022361071,0.014418414,0.020967314
5045.7,5045.91,5055.99,4958.93,0.020967314,0.020995758,0.022361071,0.009214511
4958.93,5045.7,5045.91,4890.9,0.009214511,0.020967314,0.020995758,0
4890.9,4958.93,5045.7,4970.35,0,0.009214511,0.020967314,0.010761325
4970.35,4890.9,4958.93,5080.67,0.010761325,0,0.009214511,0.025703922
5080.67,4970.35,4890.9,5126.08,0.025703922,0.010761325,0,0.031854605
5126.08,5080.67,4970.35,5128.76,0.031854605,0.025703922,0.010761325,0.032217605
5128.76,5126.08,5080.67,5196.78,0.032217605,0.031854605,0.025703922,0.041430762
5196.78,5128.76,5126.08,5217.87,0.041430762,0.032217605,0.031854605,0.044287355
5217.87,5196.78,5128.76,5245.89,0.044287355,0.041430762,0.032217605,0.048082601
5245.89,5217.87,5196.78,5267.92,0.048082601,0.044287355,0.041430762,0.051066516
5267.92,5245.89,5217.87,5233.76,0.051066516,0.048082601,0.044287355,0.04643962
5233.76,5267.92,5245.89,5299.47,0.04643962,0.051066516,0.048082601,0.055339893
5299.47,5233.76,5267.92,5296.07,0.055339893,0.04643962,0.051066516,0.05487937
5296.07,5299.47,5233.76,5342.9,0.05487937,0.055339893,0.04643962,0.061222389
5342.9,5296.07,5299.47,5371.52,0.061222389,0.05487937,0.055339893,0.065098904
5371.52,5342.9,5296.07,5420.98,0.065098904,0.061222389,0.05487937,0.07179815
5420.98,5371.52,5342.9,5445.57,0.07179815,0.065098904,0.061222389,0.075128811
5445.57,5420.98,5371.52,5470.23,0.075128811,0.07179815,0.065098904,0.078468953
5470.23,5445.57,5420.98,5433.98,0.078468953,0.075128811,0.07179815,0.073558971
